German,English
abzeichnen,sign out
antreffen,find
Apparat,apparatus
auslegen,laid out
Betrachter,Viewer
Ehemann,Husband
nachträglich,retroactively
Paradies,paradise
Spekulation,speculation
spitz,pointed
Strauß,ostrich
Studiengang,Course
Ticket,ticket
Verteidigung,defense
ausschalten,turn off
dreizehn,thirteen
einbinden,incorporate
Fieber,Fever
gießen,to water
Hauptsache,main thing
kassieren,collect
Komponist,composer
Korrektur,correction
monatlich,per month
sächsisch,Saxon
schreiten,walk
Silber,Silver
thematisieren,address
Urgroßvater,Great -grandfather
Verletzte,Injured
abdecken,cover
Altstadt,Old town
Denkmal,monument
einordnen,classify
Einzelheit,Detail
frühzeitig,early
fundamental,fundamental
glühen,glow
Import,import
Konstante,constant
Schublade,Drawer
Toleranz,tolerance
unnötig,unnecessary
Verhaltensweise,Behavior
Wachstumsrate,Growth rate
Begleiter,companion
einhergehen,accompanied
einholen,obtain
Fund,Find
funktional,functional
Hase,hare
Jungfrau,Virgo
legal,legal
Pfad,path
riskieren,take risk
silbern,silver
Teilung,division
Überwachung,monitoring
Anatomie,anatomy
Design,design
Durchbruch,breakthrough
Jahreszeit,season
Lob,praise
Telefonnummer,Telephone number
Umwandlung,conversion
Bekämpfung,Fighting
Finanzkrise,Financial crisis
umrechnen,convert
Archiv,archive
Dose,Can
erwecken,bring
Geheimdienst,intelligence
mustern,inspect
NATO,NATO
Symmetrie,symmetry
ungleich,uneven
verlässlich,reliable
abschalten,switch off
blättern,scroll
brav,well-behaved
Cousin,cousin
ergehen,go
Gesang,singing
Hilfsmittel,Aid
verstoßen,violate
Abwesenheit,absence
Anhang,attachment
Atelier,studio
Brett,board
Fachsprache,Technical language
Geldmenge,Money supply
Getreide,Grain
Grundrecht,Fundamental right
Leere,Empty
zurückliegen,lying back
Abgrund,Abyss
Asyl,asylum
aufziehen,put on
einreichen,submit
faul,lazy
Fell,fur
mitspielen,play along
schwören,swear
Syrer,Syrian
verzeihen,pardon
anstoßen,nudge
Einkauf,Purchasing
erlassen,enact
Erstellung,Creation
Fass,barrel
Kulturstaatsminister,Minister of Culture
Landsmann,Compatriot
Laufzeit,Duration
Nahrungsmittel,food
plausibel,plausible
Quartier,Quarters
Spielraum,Scope
Stickstoff,nitrogen
Trost,Consolation
zuschlagen,strike
behindern,hinder
beträchtlich,considerably
Ewigkeit,eternity
Größenordnung,Magnitude
hinfahren,drive to
Metropole,metropolis
östlich,east
Reiter,equestrian
spinnen,be crazy
Trinken,Drink
verkehren,run out
verwundern,surprise
zulässig,permissible
Abstieg,descent
ausgezeichnet,excellent
Deutung,interpretation
Einstieg,Started
führend,leading
Halbzeit,Half -time
Irrtum,mistake
Isotop,isotope
Kissen,pillow
Römer,Roman
Specht,woodpecker
Übereinstimmung,accordance
unschuldig,innocent
veranlassen,arrange
Vorgehensweise,method
Affäre,affair
afghanisch,Afghan
ausstrahlen,radiate
beeinträchtigen,affect
Fluggesellschaft,airline
gläubig,believer
heilen,heal
Kündigung,termination
Kupfer,copper
Lesung,reading
Argentinien,Argentina
Dom,Cathedral
eigens,specially
Ergänzung,Addition
ernten,to harvest
Jury,jury
Kumpel,Dude
nominal,nominal
Ratte,rat
sechzehn,sixteen
Seil,Rope
Tresen,counter
einstufen,classify
Fakultät,Faculty
hindeuten,indicate
langweilen,to bore
magisch,magical
Modul,module
Priester,priest
Rückzug,retreat
Stockwerk,floor
Tiroler,Tyrolean
zuweilen,sometimes
Abnahme,acceptance
Arbeitszeit,working time
Elektroauto,Electric car
irgendjemand,Someone
Jeans,Jeans
nachgeben,give in
Tatort,crime scene
tragisch,tragic
Attentat,attack
Ausschnitt,Excerpt
jüngst,recently
Kopie,Copy
Population,population
Referendum,referendum
simpel,simple
tasten,Keys
Umzug,move
uralt,ancient
zusammenhalten,hold together
anfänglich,initially
Anwohner,local residents
Ausblick,outlook
Butter,butter
Diskriminierung,Discrimination
Frosch,frog
Funke,spark
fürchterlich,terrible
norwegisch,Norwegian
Reiche,Richness
Skulptur,sculpture
Stadtrat,City council
Verweis,reference
Zürcher,Zurich
Beachtung,Observance
Befreiung,liberation
bescheren,grant
Botschafter,ambassador
Delegierte,Delegate
entgegen,opposite
Grundeinkommen,Basic income
Nachhinein,Subsequent
Neigung,Tilt
Obst,fruit
Ofen,oven
offenbaren,reveal
Redakteur,editor
Sehne,tendon
Spalt,gap
vertikal,vertical
Weiterentwicklung,Further development
Zorn,anger
beschwören,conjure up
Kreuzung,Crossing
Mars,Mars
Mindestlohn,minimum wage
Missbrauch,abuse
Nationalpark,National park
Offenheit,openness
Premierminister,prime minister
wörtlich,literally
Fassung,Version
fertigen,make
halbwegs,halfway
jugendlich,youthful
Präparat,preparation
Rettung,rescue
Ruine,ruin
Tablette,tablet
verdecken,cover
verzögern,delay
Zivilisation,civilization
zuversichtlich,optimistic
